edge_id,src_node,dst_node,num_lanes,length_m,speed_limit_mps
43194,1723738985,1723739120,3,22.7,11.176
43195,1723738985,1723739149,3,176.6,13.4112
43196,1723738990,1723738833,1,145.5,8.9408
43197,1723738990,1723739121,1,56.1,8.9408
43198,1723738990,65334111,4,32.6,13.4112
43199,1723738998,293626968,1,78.4,8.9408
43200,1723738998,1723738865,1,216.7,8.9408
43201,1723738998,65309522,1,83.9,8.9408
43202,1723739045,4061762663,3,34.0,11.176
43203,1723739045,4178230427,3,29.3,11.176
43204,1723739068,1723738980,3,56.0,13.4112
43205,1723739120,65310799,3,124.8,11.176
43206,1723739120,1723739367,3,165.2,13.4112
43207,1723739121,1723738990,1,56.1,8.9408
43208,1723739121,5858516694,1,75.7,8.9408
43209,1723739121,1723738893,2,122.8,8.9408
43210,1723739123,65334510,3,199.9,11.176
43211,1723739123,1723739359,1,50.8,8.9408
43212,1723739123,1723738831,1,107.5,8.9408
43213,1723739149,1723739386,3,14.3,13.4112
43214,1723739149,65315830,3,226.7,11.176
43215,1723739163,65313131,1,66.1,8.9408
43216,1723739163,65325032,1,198.9,8.9408
43217,1723739163,1723739205,1,79.4,8.9408
43218,1723739163,1864987699,1,88.7,8.9408
43219,1723739183,1723738852,3,9.1,13.4112
43220,1723739183,65315836,3,189.9,11.176
43221,91106358,91083277,1,1233.3,8.9408
43222,1723739205,5858516479,1,28.8,8.9408
43223,1723739205,1723739163,1,79.4,8.9408
43224,1723739205,65372925,2,39.2,11.176
43225,1723739241,1723739359,1,65.2,8.9408
43226,1723739241,5318468081,2,32.0,8.9408
43227,1723739241,5858516700,1,66.9,8.9408
43228,1723739241,1723739123,2,118.1,8.9408
43229,1723739244,1723738893,1,75.7,8.9408
43230,1723739244,65317030,1,198.8,11.176
43231,1723739244,5858516700,1,94.9,8.9408
43232,1723739263,5858516475,1,55.1,8.9408
43233,1723739263,5858516479,1,19.5,8.9408
43234,1723739266,1723738831,1,111.1,4.4704
43235,1723739266,5318541585,1,21.2,8.9408
43236,1723739266,65308413,4,200.6,8.9408
43237,1723739266,5014084173,2,110.8,8.9408
43238,246295695,246343068,1,553.8,22.352
43239,246295695,4974822842,4,324.1,29.0576
43240,246295701,246295719,1,123.4,11.176
43241,246295701,65382750,1,22.5,11.176
43242,246295701,1298171853,1,488.5,22.352
43243,246295716,246295719,2,456.5,22.352
43244,246295716,5261661328,6,479.5,29.0576
43245,246295719,246295701,1,123.4,11.176
43246,246295719,4169892238,2,186.8,11.176
43247,1723739359,1723739241,1,65.2,8.9408
43248,1723739359,1723739123,1,50.8,8.9408
43249,1723739367,1723739068,3,18.8,13.4112
43250,1723739367,1723739183,2,20.7,11.176
